begin,end,freq,label smoothing,sparsity,accuracy
40000,100000,2000,0.1,0.5,0.745660007
40000,100000,2000,0.1,0.5,0.746219992638
40000,100000,2000,0.1,0.5,0.746779978275
40000,100000,2000,0.1,0.5,0.746399998665
40000,100000,2000,0.1,0.5,0.744819998741
40000,100000,2000,0.1,0.5,0.746060013771
40000,100000,2000,0.1,0.5,0.747560024261
40000,100000,2000,0.1,0.5,0.746980011463
40000,100000,2000,0.1,0.5,0.74716001749
40000,100000,4000,0.1,0.7,0.730459988117
40000,100000,4000,0.1,0.7,0.729139983654
40000,100000,4000,0.1,0.7,0.729399979115
40000,100000,4000,0.1,0.7,0.731079995632
40000,100000,4000,0.1,0.7,0.730080008507
40000,100000,4000,0.1,0.7,0.729759991169
40000,100000,4000,0.1,0.7,0.727240025997
40000,100000,4000,0.1,0.7,0.728699982166
40000,100000,4000,0.1,0.7,0.728999972343
40000,100000,2000,0.1,0.8,0.713800013065
40000,100000,2000,0.1,0.8,0.711120009422
40000,100000,2000,0.1,0.8,0.711059987545
40000,100000,2000,0.1,0.8,0.711820006371
40000,100000,2000,0.1,0.8,0.711080014706
40000,100000,2000,0.1,0.8,0.712260007858
40000,100000,2000,0.1,0.8,0.713440001011
40000,100000,2000,0.1,0.8,0.713140010834
40000,100000,2000,0.1,0.8,0.711080014706
40000,76000,2000,0.1,0.9,0.675220012665
40000,76000,2000,0.1,0.9,0.676020026207
40000,76000,2000,0.1,0.9,0.675059974194
40000,76000,2000,0.1,0.9,0.67619997263
40000,76000,2000,0.1,0.9,0.672020018101
40000,76000,2000,0.1,0.9,0.674099981785
40000,76000,2000,0.1,0.9,0.672680020332
40000,76000,2000,0.1,0.9,0.672540009022
40000,76000,2000,0.1,0.9,0.670599997044
20000,100000,4000,0,0.95,0.63069999218
20000,100000,4000,0,0.95,0.627260029316
20000,100000,4000,0,0.95,0.631959974766
20000,100000,4000,0,0.95,0.626600027084
20000,100000,4000,0,0.95,0.626959979534
20000,100000,4000,0,0.95,0.627200007439
20000,100000,4000,0,0.95,0.628899991512
20000,100000,4000,0,0.95,0.628019988537
20000,100000,4000,0,0.95,0.629559993744
40000,100000,2000,0.1,0.98,0.516059994698
40000,100000,2000,0.1,0.98,0.50954002142
40000,100000,2000,0.1,0.98,0.51289999485
